Play	시작
When a creature touches an Earthroot, its roots create a kind of natural armor around it.	생명체가 뱀뿌리를 만든다면, 뱀뿌리의 뿌리가 그 생명체의 주위에 자연의 갑옷을 만들어 줄 것이다.
Herbal armor	자연의 갑옷
Fadeleaf	미명초
Touching a Fadeleaf will teleport any creature to a random place on the current level.	미명초를 만지면 현재 층의 무작위 위치로 보낼 것이다. 
Firebloom	화염초
When something touches a Firebloom, it bursts into flames.	어떤 것이든 화염초를 건드린다면, 화염에 휩싸일 것이다.
Icecap	얼음송이
Upon touching an Icecap excretes a pollen, which freezes everything in its vicinity.	얼음송이를 만진다면 근처의 모든 것을 얼려버리는 꽃가루를 뿜어낼 것이다.
Rotberry	썩은딸기의 씨
Berries of this shrub taste like sweet, sweet death.	이 나무 열매의 맛은 달콤하다- 달콤한 죽음.
The seed emits a roar that echoes throughout the dungeon!	그 씨앗은 으르렁하는 소리를 내었고, 그 소리는 던전 전체로 퍼져나갔다.
Sorrowmoss	슬픔이끼
A Sorrowmoss is a flower (not a moss) with razor-sharp petals, coated with a deadly venom.	슬픔이끼는 면도날처럼 날카롭고 치명적인 독이 묻은 꽃잎으로된 꽃이다(이끼가 아님).
Sungrass	태양초
Sungrass is renowned for its sap's healing properties.	태양초는  그 수액의 회복 효과로 유명하다.
Herbal healing	약초 요법
your %s constricts around you painfully	당신의 %s 이/가 몸을 고통스럽게 조여온다
Interaction of different types of magic has erased the glyph on this armor!	서로 다른 마법간의 상호작용으로 갑옷의 각인이 지워져 버렸다!
\n\nThis %1$s provides damage absorption up to "%2$d"  points per attack.	이 %1$s 은/는 공격 당 최대  "%2$d" 데미지를 흡수할 수 있다
\n\nBecause of your inadequate strength your movement speed and defense skill is decreased. 	\n\n힘이 부족하여 움직임이 느려지고 방어능력이 떨어졌습니다.
\n\nBecause of your inadequate strength wearing this armor will decrease your movement speed and defense skill.	\n\n이 갑옷을 입기 위한 힘이 부족하여 착용하면 움직임이 느려지고 방어 능력이 떨어질 것이다.
\n\nTypical %1$s provides damage absorption up to %2$d points per attack and requires %3$d points of strength.	\n\n일반적인 %1$s 은/는 최대 %2$d 데미지를 흡수하고 힘 %3$d을 필요로 한다.
Probably this armor is too heavy for you.	아마 당신에게는 갑옷이 너무 무거워 보인다.
\n\nYou are wearing the %1$s%2$s.	\n\n당신은 %1$s%2$s 을/를 착용하고 있다.
\n\nYou can feel a malevolent magic lurking within the %s.	\n\n %s안에 해로운 마법이 숨어있음을 느낄 수 있다.
The thing looks awesome!	굉장해 보이는군!
Your health is too low!	쓰러지기 일보 직전입니다!
You need to be wearing this armor to use its special power!	갑옷의 특별한 힘을 이용하기 위해서는 입고 있어야 합니다.
cloth armor	천 갑옷
This lightweight armor offers basic protection.	이 가벼운 갑옷은 기본적인 방어력을 제공한다.
huntress cloak	사냥꾼의 망토
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	이 망토를 착용한 사냥꾼은 귀검 부채를 만들어낼 수 있다.각 칼날 하나마다 시야에 들어온 적 하나씩을 노리고, 착용중인 근접 무기의 공격력에 따라 피해를 준다.
SPECTRAL BLADES	귀검
No enemies in sight	시야 내에 적이 없다.
Only huntresses can use this armor!	이 갑옷은 사냥꾼만 착용 가능하다.
leather armor	가죽 갑옷
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	몬스터의 가죽을 무두질해 만든 갑옷. 천 갑옷만큼 가볍지는 않지만 더 나은 방어력을 제공한다.
mage robe	마법사의 로브
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	이 화려한 로브를 입고있는 마법사는 용암 분출 주문을 사용할 수 있다; 시야 내 모든 적에게 불을 붙이고 움직일 수 없게 한다.
MOLTEN EARTH	용암 분출
Only mages can use this armor!	이 갑옷은 마법사만 착용 가능하다
mail armor	사슬 갑옷
Interlocking metal links make for a tough but flexible suit of armor.	갑옷을 단단하면서도 유연하게 하기 위하여 쇠사슬을 엮어 만들었다.
plate armor	판금 갑옷
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	많은 철판들을 서로 연결해 한 벌로 만들어, 이 엄청난 무게를 견딜 수 있는 모험자들에게 어마어마한 방어력을 제공한다.
rogue garb	도적의 의복
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	이 어둠의 의복을 입는다면, 로그는 "연막탄" 이라는 기술를 부릴 수 있게 된다 (폭발물을 사용하진 않지만): 적들의 눈을 멀게 하고 옆으로 회피한다.
SMOKE BOMB	연막탄
Only rogues can use this armor!	이 갑옷은 도적만 착용 가능하다
You can only jump to an empty location in your field of view	시야 내의 빈 위치에만 이동할 수 있다.
Choose a location to jump to	이동할 위치 선택
scale armor	미늘 갑옷
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	가죽 조끼 표면에 철판을 꿰메어 유연하면서도 방어력이 강한 갑옷을 만들었다.
warrior suit of armor	전사의 갑주
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	이 갑옷이 보기엔 무거워 보일지 모르나 착용한 전사에게 영웅의 도약을 가능케 한다. 영웅의 도약으로 목표 지점을 강하게 내리치며 주변의 모든 적을 기절시킬 수 있다.
HEROIC LEAP	영웅의 도약
Only warriors can use this armor!	이 갑옷은 전사만 착용 가능하다.
Choose direction to leap	도약할 방향을 선택하라.
%s of affection	매혹의 %s 
%s of anti-entropy	반 엔트로피의 %s
%s of bounce	탄력의 %s
%s of displacement	이동의 %s
%s of entanglement	속박 %s
%s of metabolism	신진대사의 %s
%s of multiplicity	다중성의 %s
%s of potential	전격의 %s
%s of stench	악취의 %s
%s of viscosity	점성의의 %s
deferred %d	지속적으로 %d
OPEN	열기
key ring	열쇠고리
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	이것은 열쇠들이 가방에서 자리를 차지하지 않도록, 따로 보관할 수 있는 구리로 된 열쇠고리 입니다.
scroll holder	두루마리 보관함
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	이 관 형태의 보관함에 두루마리를 보관할 수 있습니다. 이 보관함은 공간을 절약하고 화재로부터 두루마리를 보호합니다.
seed pouch	씨앗 주머니
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	이 작은 벨벳 주머니는 씨앗들을 저장할 수 있습니다. 매우 편리합니다.
wand holster	마법 막대 보관함
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	이 얇은 마법 막대 보관함은 이국적인 동물의 가죽으로 만들었습니다. 이것은 당신에게 %d개의 마법 막대를 보관할 수 있게 해줍니다.
ration of food	비상 식량
Nothing fancy here: dried meat, some biscuits - things like that.	말린 고기, 비스킷 몇 개 등의 특별할 것 없는 식량입니다.
That food tasted delicious!	그 음식은 맛있었습니다!
chargrilled meat	익힌 고기
It looks like a decent steak.	괜찮은 스테이크처럼 구워졌다.
frozen carpaccio	얼린 생고기
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	냉동시킨 고기 조각. 이걸 먹는 방법은 고기를 얇게 썰어서 먹는 것이다. 그리고 이렇게 먹으면 아주 맛이 좋다.
You feel your skin hardens!	당신은 피부가 단단해 지는게 느껴진다.
Refreshing!	상쾌하군!
You feel better!	당신은 기분이 좋아졌다
mystery meat	알 수 없는 고기
Eat at your own risk!	상했을 수 있습니다
Oh it's hot!	으, 뜨거워!
You can't feel your legs!	다리에 감각이 느껴지지 않는다!
You are not feeling well.	당신은 기분이 좋지 않다.
You are stuffed.	당신은 배가 부르다.
That food tasted... strange.	이 음식.... 맛이 이상하군.
overpriced food ration	비싼 비상 식량
It looks exactly like a standard ration of food but smaller.	일반적인 비상 식량과 똑같이 생겼지만 크기가 좀 더 작습니다.
That food tasted good.	맛이 좋습니다.
pasty	파스티
This is authentic Cornish pasty with traditional filling of beef and potato.	소고기와 감자를 넣어 전통 방법으로 요리한 영국식 파스티이다.
golden key	황금 열쇠
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	이 황금 열쇠는 작고 복잡한 홈이 있습니다. 아마 어떤 상자의 잠금 장치를 열 수 있지 않을까요?
iron key	열쇠
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	열쇠에 있는 홈이 많이 닳아있고 가죽끈은 오래 써서 낡아 보입니다. 이걸로 어떤 문을 열 수 있을까요?
iron key from depth %d	이 열쇠는 %d층 열쇠 입니다.
skeleton key	해골 열쇠
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	이 열쇠는 중요해 보입니다. 열쇠 머리 부분이 해골 모양입니다. 아마도 중요한 문을 열 수 있을 것 같습니다.
%s potion	%s 물약
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	이 플라스크는 속에 출렁이는 %s 액체를 담고 있습니다. 마시거나 던지면 과연 무슨 일이 일어날까요?
DRINK	마시기
Harmful potion!	해로운 물약!
Beneficial potion	이로운 물약
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	정말 마실건가요? 대부분의 상황에서 이런 물약들은 당신의 적들에게 던지는 용도로 사용해야 합니다.
Are you sure you want to throw it? In most cases it makes sense to drink it.	정말 던질건가요? 대부분의 경우에서 이런 물약들은 마시는 것이 타당할 것입니다.
The flask shatters and %s liquid splashes harmlessly	플라스크가 산산조각나고 %s 액체가 무해하게 사방으로 튀었습니다.
turquoise	청록색
crimson	진홍색
azure	하늘색
jade	비취색
golden	금색
magenta	자홍색
charcoal	암회색
ivory	상아색
amber	호박색
bistre	암갈색
indigo	남색
silver	은색
Potion of Experience	경험의 물약
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	이야기속에 나오는 수많은 전투 경험들이 액체 형태로 축약된  물건으로,이 물약은  당신의 경험치 레벨을  즉시 올려줄 것입니다.
Potion of Frost	서리의 물약
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	바깥에 노출시킨다면, 이 화학물은 냉기 구름으로 기화되어서 닿는 생물체들을 그 자리에서 얼려버려서, 움직이는 것을 불가능하게 만들 것입니다.
Potion of Healing	회복의 물약 
An elixir that will instantly return you to full health and cure poison.	순식간에 체력을 완전히 회복시켜주고 중독을 치료하는 묘약이다.
Your wounds heal completely.	상처가 완전히 회복되었다.
Potion of Invisibility	투명화의 물약
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	이 물약을 마시면 잠시동안 당신의 모습을 투명하게  만들어 줄 것입니다. 투명화된 동안 적들은 당신을 볼 수 없을 것입니다.적의 시야에서 적을 공격하거나 마법봉 또는 두루마리를 사용하면 효과가 풀릴 것입니다.
You see your hands turn invisible!	당신의 손이 눈앞에서 투명하게 변했습니다!
Potion of Levitation	공중부양의 물약
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	이 흥미로운 액체를 마시게되면 몸이 공중에 뜨게되어, 함정 위를 수월하게 지나갈 수 있을 것입니다. 하지만 가스나 화염은 대기를 채우기 때문에 공중에 떠 있는 중이라도 무시하고 건너갈 수 없을 것입니다.
You float into the air!	공기 중으로 두둥실 떴다!
Potion of Liquid Flame	액체화염의 물약
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	플라스크는 외부에 노출되면 폭발하며 화염을 일으키는 불안정한 혼합물로 가득차 있습니다.
Potion of Might	용력의 물약
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	이 강력한 액체는 당신의 근육으로 퍼져, 영구적으로 당신에게 1의 힘과 5의 체력을 증가시켜 줄 것입니다.
+1 str, +5 ht	+1 힘, +5 체력
Potion of Mind Vision	심안의 물약
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	이걸 마신 후에는, 당신의 마음이 멀리 떨어진 생명체의 정신신호와 공명하게 되어, 생물의 존재감을 벽너머로도 감지할 수 있을 것입니다. 또한 이 물약은 가까이 있는 벽과 문 너머를 볼 수 있는 능력을 줄 것입니다.
You can somehow feel the presence of other creatures' minds!	당신은 왠지 다른 생물들의 존재를 느낄 수 있게 되었다!
You can somehow tell that you are alone on this level at the moment.	당신은 어떻게든 지금 이 순간 이 층에는 당신 혼자 뿐이란걸 느낄 수 있게 되었다.
Potion of Paralytic Gas	마비가스의 물약
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	이 플라스크 안의 액체가 공기에 닿으면,  증발하여 마비를 일으키는 노란 안개로 바뀐다. 누구든 이 증기를 흡입하게되면 순간적으로 마비를 일으키고, 안개가 가신 후에도 얼마동안은 움직일 수 없게된다. 멀리있는 적에게 이 아이템을 던져서 적을 가스속에 가둘 수 있다.
Potion of Purification	정화의 물약
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	이 시약은 유효 범위내의 모든 해로운 가스들을 빠르게 정화한다. 마셨을 땐 그런 가스들에 대해 면역이 잠시동안 생긴다.
You feel uncommon freshness in the air.	비범한 상쾌함이 공기에서 느껴진다.
You've stopped sensing any smells!	잠시동안 아무런 냄새도 맡을 수 없게 되었다!
Potion of Strength	힘의 물약
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	이 강력한 액체는 근육으로 퍼져 영구적으로 힘을 1 증가시킨다.
Newfound strength surges through your body.	새로운 힘이 당신 몸속으로 밀려든다.
+1 str	+1 힘
Potion of Toxic Gas	독가스의 물약
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	이 유리병을 열거나 충격을 가하면 치명적인 독성의 녹색 가스가 폭발합니다. 선택하세요. 당신의 손으로 열거나 적에게 던지거나 당신 마음입니다.
corpse dust	시체 먼지
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	이 시체 먼지 덩어리는 다른 먼지 덩어리랑 별 차이 없어 보입니다. 하지만 당신은 사악한 에너지가 이것을 감싸고 있는 것을 느낍니다.\n\n가능한 한 빨리 없애 버리는 게 좋을 것입니다.
dark gold ore	어두운 금 원석
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	이 금속이 이러한 이름이 붙은 이유는 사실 평범한 금과 별로 달라 보이지 않지만, 태양빛 아래에 두면 녹아버려 쓸모가 없어져 버리기 때문입니다.
dried rose	매마른 장미
The rose has dried long ago, but it has kept all its petals somehow.	긴 시간 동안 매마른 장미이지만, 어째선지 모든 꽃잎을 유지하고 있습니다.
dwarf token	드워프 주화
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	많은 드워프들은 자신들의 작품을 가지고 다니지만, 그 중 일부는 목적을 알 수 없는 작은 조각을 지니고 있습니다. 어쩌면 보석이거나 신분증을 대신하는 그런 종류 같습니다. 드워프는 조금 별나군요.
EAT	먹기
pickaxe	곡괭이
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	이 크고 튼튼한 도구는 바위를 파괴하기 위한 도구입니다. 아마 무기로도 사용할 수 있을꺼 같네요.
MINE	광산
There is no dark gold vein near you to mine	근처에 캘 수 있는 어두운 금 원석이 없습니다.
giant rat skull	거대 쥐의 두개골
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	아주 좋은 사냥 기념품이 될 수 있겠지만...벽에 걸어놓기에는 악취가 너무 심합니다.
%s ring	%s 반지
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	이 금속 고리는 어둠 속에서 빛나는 커다란 %s 보석으로 장식되어 있습니다. 착용했을 때 어떤 효과가 나타날까요?
you are now familiar enough with your %1$s to identify it. It is %2$s.	당신은 %1$s 에 충분히 친숙해져서 그것의 정체를 알게 되었다. 그것은 %2$s이다.
diamond	다이아몬드
opal	오팔
garnet	가넷
ruby	루비
amethyst	자수정
topaz	토파즈
onyx	줄마노
tourmaline	토르말린
emerald	에메랄드
sapphire	사파이어
quartz	석영
agate	마노
Your %s tightens around your finger painfully	%s 이/가 당신의 손가락을 고통스럽게 조여옵니다.
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n %2$s 은/는 당신의 손가락 %3$s에 있습니다.
, and because it is cursed, you are powerless to remove it	그리고 저주로 인해, 당신은 그것을 벗을 수가 없습니다
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\n당신의 %2$s안에 숨어있는 마법의 기운을 느낄 수 있습니다.
This is a %s	이것은 %s 입니다.
Ring of Accuracy	명중의 반지
This ring increases your chance to hit the enemy.	이 반지는 당신의 공격이 적중할 확률을 높여줍니다.
Ring of Detection	감지의 반지
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	이 반지를 착용시 검색에 턴을 소모하지 않고 함정과 비밀의 문을 발견할 수 있습니다. 역강화된 반지는 당신의 감각을 둔화시켜 함정과 비밀의 문을 찾기 위해 검색해도 발견하기 어렵게 만듭니다.
Ring of Elements	원소의 반지
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	이 반지는 부정적인 효과의 지속시간을 감소시키고 화염, 전격, 가스 등에 대한 저항력을 높여줍니다.
Ring of Evasion	회피의 반지
This ring increases your chance to dodge enemy attack.	이 반지는 적의 공격을 회피할 확률을 상승시켜 줍니다.
Ring of Haggler	흥정꾼의 반지
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	사실, 이 반지는 어떤 마법적 효과도 지니고 있지 않습니다. 그러나 이 반지의 소유주가 도둑길드 소속이라는 것을 상점주인에게 알리는 역할을 합니다. 그들은 이 반지에 대한 보증으로 할인을 제공합니다. 이 반지는 강화해도 추가 보너스를 제공하지 않습니다.
Ring of Haste	가속의 반지
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	이 반지는 착용자의 시간의 흐름을 가속해 더 많은 행동을 할 수 있도록 합니다.
Ring of Herbalism	약초의 반지
This ring increases your chance to gather dew and seeds from trampled grass.	이 반지는 수풀에서 이슬과 씨앗을 발견할 확률을 높여줍니다.
Ring of Mending	회복의 반지
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	이 반지는 신체의 재생속도를 증가시켜 빠르게 체력을 회복합니다. 역강화된 반지는 자연재생을 감소시키거나 중지시킵니다.
Ring of Power	힘의 반지
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	당신의 마법봉이 이 반지에서 나오는 힘의 장막에 의해 더 강해질 것입니다. 역강화된 반지는 당신의 마법봉의 힘을 약화시킵니다.
Ring of Satiety	포만의 반지
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	이 반지는 당신이 음식없이 오랫동안 행동할 수 있게 해줍니다. 역강화된 반지는 반대의 효과를 줍니다.
Ring of Shadows	은신의 반지
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	이 반지를 착용하면 적들이 당신을 발견할 확률을 줄여 줍니다. 역강화된 반지는 당신의 존재를 적들에게 알려줍니다.
Ring of Thorns	가시의 반지
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	이 반지는 실제로 가시를 돋아나게 하지는 않습니다. 그러나 적이 공격하는 피해의 일부분을 다시 적에게 되돌려줍니다. 이 반지는 강화해도 추가 보너스를 제공하지 않습니다.
scroll "%s"	"%s" 두루마리
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	이 양피지는 판독할 수 없는 룬 문자 %s로 덮여있습니다. 누가 이것을 소리내어 읽을때 어떤 일이 일어날까요?
KAUNAN	카우난
SOWILO	소윌로
LAGUZ	라구즈
YNGVI	잉그비
GYFU	가이푸
RAIDO	라이도
ISAZ	이사즈
MANNAZ	만나즈
NAUDIZ	나우디즈
BERKANAN	버카난
ODAL	오쌀란
TIWAZ	티와즈
Select an item	아이템을 선택하세요.
Do you really want to cancel this scroll usage? It will be consumed anyway.	정말 이 두루마리의 사용을 취소 하시겠습니까? 그래도 두루마리는 소모될 것입니다.
Yes, I'm positive	응, 괜찮아.
Scroll of Challenge	도전의 두루마리
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	도전의 두루마리를 소리내어 읽을때,이 두루마리는 모든 몬스터를 깨우고 모든 몬스터가 읽은 사람의 위치로 모여들게 만드는 함성을 지를 것입니다.
The scroll emits a challenging roar that echoes throughout the dungeon!	두루마리가 던전을  꿰뚫는 도전적인 표효를 방출했습니다!
Scroll of Identify	식별의 두루마리
Permanently reveals all of the secrets of a single item.	영구적으로 아이템의 비밀을 보여줍니다.
Select an item to identify	식별할 아이템을 선택하세요.
It is %s	이것은 %s 입니다.
Scroll of Lullaby	자장가의 두루마리
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	이 부드러운 멜로디는 시야안에 있는 모든 생물에게 깊은 잠에 빠지게 합니다. 당신은 도망가거나 이들에게 기습공격를 가할 수 있습니다.
The scroll utters a soothing melody.	두루마리에서 부드러운 멜로디가 흘러나옵니다.
The scroll utters a soothing melody and the %s falls asleep!	두루마리가  %s 에게  잠이 오게 하는 부드러운 멜로디를 들려주었습니다!
The scroll utters a soothing melody and the monsters fall asleep!	두루마리에서 부드러운 멜로디가 흘러나와 몬스터들이 깊은 잠에 빠졌습니다!!
Scroll of Magic Mapping	마법 지도의 두루마리
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	이 두루마리를 읽는 순간 이 층의 배치도의 수정만큼 깔끔한 모습이 기억 속에 각인되어 모든 숨겨진 비밀들을 알려줄 것입니다. 물건과 생명체들의 위치는 여전히 불명으로 남을 것입니다.
You are now aware of the level layout.	이제 현재층의 모든 지형을 파악했습니다.
Scroll of Mirror Image	거울상의 두루마리
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	이 두루마리에 걸려진 마법은 두루마리를 읽은 자의 적들을 추적할 쌍둥이들을 만들어낼 것입니다.
Scroll of Psionic Blast	정신 폭발의 두루마리
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	이 두루마리는 시야에 보이는 모든 생물체에게 강력한 정신적인 피해를 가하는 파괴적인 힘을 포함하고 있습니다.  이 과정에서 동반되는 빛은 일시적으로 두루마리를 읽은 사람을 포함한 모두의 시야를 멀게 만들 것입니다.
Scroll of Recharging	재충전의 두루마리
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	이 가공되지 않은 마법의 힘이 봉인된 양피지는 해방되었을 때 두루마리를 읽은 사람의 마법봉을 모두 최대로 충전시켜 줄 것입니다.
a surge of energy courses through your pack, recharging your wand	폭발하는 힘이 당신의 가방을 지나가며 당신의 마법봉을 충전시킵니다.
a surge of energy courses through your pack, recharging your wands	폭발하는 힘이 당신의 가방을 지나가며 당신의 마법봉들을 충전시킵니다.
a surge of energy courses through your pack, but nothing happens	가방에서 에너지가 급증하였지만 아무일도 일어나지 않았습니다.
Scroll of Remove Curse	저주제거의 두루마리
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	 이 두루마리에 걸린 마법은 즉시 읽은 자의 무기와 방어구, 그리고 반지와 가지고 있는 모든 물건들을 해제하는 것을 막는 사악한 마법을 해제해 줄 것입니다.
Your pack glows with a cleansing light, and a malevolent energy disperses.	가방에서 정화의 빛이 빛나며 악의 에너지가 분산되고 있습니다.
Your pack glows with a cleansing light, but nothing happens.	가방에서 정화의 빛이 빛났지만 아무일도 일어나지 않았습니다.
Scroll of Teleportation	순간이동의 두루마리
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	이 두루마리에 적힌 마법은 시전자를 즉시 같은층의 무작위 장소로 이동시켜 줄 것입니다. 이것은 위험한 상황에서 탈출하는데 사용할 수도 있지만 불운한 경우에는 시전자를 더 위험한 장소로 이동시킬 수도 있습니다.
In a blink of an eye you were teleported to another location of the level.	순식간에 다른장소로 순간이동 했습니다.
Strong magic aura of this place prevents you from teleporting!	이곳의 강력한 마법장이 순간이동을 못하게 막고 있습니다!
Scroll of Terror	공포의 두루마리
